"species"	"site"	"season"	"count"
"2"	"40"	"2"	0
"3"	"40"	"2"	0
"4"	"40"	"2"	1
"5"	"40"	"2"	0
"1"	"41"	"2"	0
"2"	"41"	"2"	0
"3"	"41"	"2"	0
"4"	"41"	"2"	4
"5"	"41"	"2"	16
"1"	"42"	"2"	0
"2"	"42"	"2"	0
"3"	"42"	"2"	0
"4"	"42"	"2"	0
"5"	"42"	"2"	1
"1"	"43"	"2"	0
"2"	"43"	"2"	0
"3"	"43"	"2"	0
"4"	"43"	"2"	0
"5"	"43"	"2"	0
"1"	"44"	"2"	0
"2"	"44"	"2"	0
"3"	"44"	"2"	0
"4"	"44"	"2"	0
"5"	"44"	"2"	0
"1"	"45"	"2"	1
"2"	"45"	"2"	0
"3"	"45"	"2"	0
"4"	"45"	"2"	0
"5"	"45"	"2"	0
"1"	"46"	"2"	0
"2"	"46"	"2"	0
"3"	"46"	"2"	0
"4"	"46"	"2"	2
"5"	"46"	"2"	0
"1"	"47"	"2"	0
"2"	"47"	"2"	0
"3"	"47"	"2"	0
"4"	"47"	"2"	2
"5"	"47"	"2"	0
"1"	"48"	"2"	0
"2"	"48"	"2"	0
"3"	"48"	"2"	0
"4"	"48"	"2"	0
"5"	"48"	"2"	0
"1"	"49"	"2"	3
"2"	"49"	"2"	0
"3"	"49"	"2"	2
"4"	"49"	"2"	17
"5"	"49"	"2"	9
"1"	"50"	"2"	1
"2"	"50"	"2"	0
"3"	"50"	"2"	0
"4"	"50"	"2"	1
"5"	"50"	"2"	0
"1"	"51"	"2"	0
"2"	"51"	"2"	0
"3"	"51"	"2"	0
"4"	"51"	"2"	0
"5"	"51"	"2"	1
"1"	"52"	"2"	1
"2"	"52"	"2"	0
"3"	"52"	"2"	0
"4"	"52"	"2"	1
"5"	"52"	"2"	2
"1"	"53"	"2"	0
"2"	"53"	"2"	0
"3"	"53"	"2"	0
"4"	"53"	"2"	0
"5"	"53"	"2"	0
"1"	"54"	"2"	2
"2"	"54"	"2"	0
"3"	"54"	"2"	0
"4"	"54"	"2"	0
"5"	"54"	"2"	0
"1"	"55"	"2"	1
"2"	"55"	"2"	0
"3"	"55"	"2"	0
"4"	"55"	"2"	12
"5"	"55"	"2"	5
"1"	"56"	"2"	0
"2"	"56"	"2"	0
"3"	"56"	"2"	0
"4"	"56"	"2"	2
"5"	"56"	"2"	0
"1"	"57"	"2"	0
"2"	"57"	"2"	0
"3"	"57"	"2"	0
"4"	"57"	"2"	11
"5"	"57"	"2"	0
"1"	"58"	"2"	1
"2"	"58"	"2"	0
"3"	"58"	"2"	0
"4"	"58"	"2"	6
"5"	"58"	"2"	0
"1"	"59"	"2"	2
"2"	"59"	"2"	0
"3"	"59"	"2"	0
"4"	"59"	"2"	1
"5"	"59"	"2"	1
"1"	"60"	"2"	1
"2"	"60"	"2"	0
